topicId,rank,docId,filename
2,4,13,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_angels_ch2_4.txt
2,5,12,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_angels_ch1.txt
2,6,14,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch0.txt
2,7,29,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch2.txt
2,8,19,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/conrad_secret_ch2.txt
2,9,22,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_scandalbohemia.txt
2,10,39,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch15.txt
2,11,21,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_redheadedleague.txt
2,12,38,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch1.txt
2,13,20,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_caseofidentity.txt
2,14,30,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch23.txt
2,15,18,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/conrad_secret_ch1.txt
2,16,28,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch18.txt
2,17,27,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch1.txt
2,18,23,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch1.txt
2,19,9,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch1.txt
2,20,25,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch48.txt
2,21,10,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch15.txt
2,22,24,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch2.txt
2,23,40,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch2.txt
2,24,41,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch21.txt
2,25,4,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch50.txt
2,26,7,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch27.txt
2,27,42,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/stevenson_treasure_ch1.txt
2,28,35,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch12.txt
2,29,32,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_snowdrop.txt
2,30,26,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch73.txt
2,31,11,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch2.txt
2,32,1,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch1.txt
2,33,5,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch1.txt
2,34,8,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch41.txt
2,35,6,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch2.txt
2,36,3,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch40.txt
2,37,37,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch2.txt
2,38,34,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch1.txt
2,39,43,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/stevenson_treasure_ch2.txt
2,40,31,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_hanselgretel.txt
2,41,2,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch2.txt
2,42,36,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch14.txt
2,43,33,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_wateroflife.txt
3,1,38,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch1.txt
3,2,40,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch2.txt
3,3,39,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch15.txt
3,4,41,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/meyer_twilight_ch21.txt
3,5,13,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_angels_ch2_4.txt
3,6,30,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch23.txt
3,7,29,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch2.txt
3,8,21,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_redheadedleague.txt
3,9,22,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_scandalbohemia.txt
3,10,19,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/conrad_secret_ch2.txt
3,11,27,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch1.txt
3,12,20,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/doyle_caseofidentity.txt
3,13,18,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/conrad_secret_ch1.txt
3,14,12,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_angels_ch1.txt
3,15,7,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch27.txt
3,16,36,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch14.txt
3,17,15,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch1.txt
3,18,35,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch12.txt
3,19,25,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch48.txt
3,20,37,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch2.txt
3,21,34,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/lewis_lionwitch_ch1.txt
3,22,28,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eljames_fiftyshades_ch18.txt
3,23,17,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch92.txt
3,24,14,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch0.txt
3,25,9,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch1.txt
3,26,11,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch2.txt
3,27,10,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/barrie_peterpan_ch15.txt
3,28,23,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch1.txt
3,29,32,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_snowdrop.txt
3,30,26,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch73.txt
3,31,31,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_hanselgretel.txt
3,32,4,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch50.txt
3,33,43,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/stevenson_treasure_ch2.txt
3,34,24,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch2.txt
3,35,42,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/stevenson_treasure_ch1.txt
3,36,16,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/brown_davinci_ch77.txt
3,37,8,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch41.txt
3,38,6,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch2.txt
3,39,33,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_wateroflife.txt
3,40,3,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch40.txt
3,41,5,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_sense_ch1.txt
3,42,2,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch2.txt
3,43,1,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/austen_pride_ch1.txt
4,1,23,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch1.txt
4,2,24,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch2.txt
4,3,25,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/eliot_middlemarch_ch48.txt
4,4,32,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/grimms_snowdrop.txt
4,5,43,/Users/lynn/Documents/Talks/TopicNetworksPyladies/./data/mixed_chapters/stevenson_treasure_ch2.txt
